Model,Estimated Price (USD millions)
AW101 610,86
AW101 611,86
AW101 612,86
AW101 614,86
AW101 640,86
AW101 641,86
AW101 642,86
AW101,86
AW101 VVIP,120
AW139M,40
AW149,40
AW159,37.5
AW159 210,37.5
AW159 Wildcat HMA2,42.5
AW159 Wildcat,42.5
AW169 (skids),8.5
AW169,8.5
AW169M,27.5
NH90,29.41
AW159 220,110
A109LUH,11.4
